SYMBOL ,NAME ,PRICE ,CHANGE ,%CHANGE 
ARM,Arm Holdings PLC,125.54,8.25,7.03
LIN,Linde PLC,463.08,6.23,1.36
AZN,AstraZeneca PLC,80.89,-2.16,-2.6
BKR,Baker Hughes Co,33.69,-0.25,-0.74
AVGO,Broadcom Inc,140.82,3.83,2.79
BIIB,Biogen Inc,199.27,-1.54,-0.77
BKNG,Booking Holdings Inc,"3,802.89",71.54,1.92
CDNS,Cadence Design Systems Inc,252.81,5.29,2.14
ADBE,Adobe Inc.,569.88,6.47,1.15
CHTR,Charter Communications Inc,324.84,-2.59,-0.79
CPRT,Copart Inc,49.42,-0.04,-0.08
CSGP,CoStar Group Inc,79.53,2.08,2.69
CRWD,CrowdStrike Holdings Inc,246.58,0.19,0.08
CTAS,Cintas Corp,804.72,22.82,2.92
CSCO,Cisco Systems Inc,48.7,0.2,0.41
CMCSA,Comcast Corp,39.72,0.11,0.28
COST,Costco Wholesale Corp,896.49,19.81,2.26
CSX,CSX Corp,33.76,0.39,1.17
CTSH,Cognizant Technology Solutions Corp,76.13,0.29,0.38
DDOG,Datadog Inc,107.7,0.5,0.47
DXCM,Dexcom Inc,69.71,1.1,1.6
FANG,Diamondback Energy Inc,179.21,-0.52,-0.29
DLTR,Dollar Tree Inc,67.42,0.92,1.38
EA,Electronic Arts,144.3,0.29,0.2
ON,ON Semiconductor Corp,69.39,1.47,2.16
EXC,Exelon Corp,38.73,0.53,1.39
TTD,Trade Desk Inc,99.32,-0.99,-0.99
FAST,Fastenal Co,68.09,2.2,3.34
GFS,GlobalFoundries Inc,40.41,0.29,0.72
META,Meta Platforms Inc,504.79,4.52,0.9
FI,Fiserv Inc,172.44,2.42,1.42
FTNT,Fortinet Inc,75.1,-0.06,-0.07
GILD,Gilead Sciences Inc,79.17,0.45,0.57
GOOG,Alphabet Class C,149.54,-2.39,-1.57
GOOGL,Alphabet Class A,148.71,-2.01,-1.33
HON,Honeywell International Inc,201.16,3.03,1.53
ILMN,Illumina Inc,122.54,-1.85,-1.49
INTC,Intel Corp,19.07,0.18,0.95
INTU,Intuit Inc,626.99,11.87,1.93
ISRG,Intuitive Surgical Inc,479.39,7.57,1.6
MRVL,Marvell Technology Inc,68.93,2.73,4.12
IDXX,IDEXX Laboratories Inc,480.34,7.99,1.69
KDP,Keurig Dr Pepper Inc,37.27,0.41,1.11
KLAC,KLA Corp,709.89,7.09,1.01
KHC,Kraft Heinz Co,36.05,0.21,0.59
LRCX,Lam Research Corp,734.31,0.48,0.07
LULU,Lululemon Athletica Inc,248.59,-5.25,-2.07
MELI,MercadoLibre Inc,"2,029.91",43.86,2.21
MAR,Marriott International Inc,228.59,0.99,0.43
MCHP,Microchip Technology Inc,75.41,1.32,1.78
MDLZ,Mondelez International Inc,75.71,0.4,0.53
MRNA,Moderna Inc,76.61,3.72,5.1
MNST,Monster Beverage Corp,50.74,2.09,4.3
MSFT,Microsoft Corp,405.72,4.02,1
MU,Micron Technology Inc,86.27,-0.11,-0.13
NFLX,Netflix Inc,675.42,9.65,1.45
GRAL,Grail Inc,13.34,UNCH,UNCH
NVDA,NVIDIA Corp,106.47,3.64,3.54
NXPI,NXP Semiconductors NV,230.6,3.9,1.72
ODFL,Old Dominion Freight Line Inc,189.78,4.96,2.68
ORLY,O’Reilly Automotive Inc,"1,124.02",4.84,0.43
PCAR,Paccar Inc,94.97,1.72,1.84
PANW,Palo Alto Networks Inc,344.05,8.23,2.45
PAYX,Paychex Inc,132.22,2.84,2.2
PDD,PDD Holdings Inc,92.46,-0.84,-0.9
PYPL,PayPal Holdings Inc,69.35,0.46,0.67
PEP,PepsiCo Inc.,178.19,0.85,0.48
QCOM,Qualcomm Inc,160.77,2.58,1.63
REGN,Regeneron Pharmaceuticals Inc,"1,144.77",13.27,1.17
ROST,Ross Stores Inc,150.42,0.26,0.17
SBUX,Starbucks Corp,92.21,1.06,1.16
SNPS,Synopsys Inc,464.16,0.19,0.04
TSLA,Tesla Inc,216.27,5.54,2.63
TXN,Texas Instruments Inc,201.17,3.72,1.88
TMUS,T-Mobile US Inc,195.3,2.3,1.19
VRSK,Verisk Analytics Inc,273.25,1.59,0.59
VRTX,Vertex Pharmaceuticals Inc,471.11,3.11,0.66
WBD,Warner Bros Discovery Inc,7.3,0.08,1.11
WDAY,Workday Inc,253.52,-1.08,-0.42
XEL,Xcel Energy Inc,63.49,0.58,0.92
ZS,Zscaler Inc,159.16,2.38,1.52
ADP,Automatic Data Processing Inc,275.59,6.03,2.24
ABNB,Airbnb Inc,116.36,2.08,1.82
AMD,Advanced Micro Devices Inc,138.15,3.8,2.83
CEG,Constellation Energy Corp,174.92,1.81,1.05
AMZN,Amazon.com Inc,175.4,4.01,2.34
AMGN,Amgen Inc,325.92,5.36,1.67
AEP,American Electric Power Company Inc,103.66,1.61,1.58
CDW,CDW Corp,214.14,1.93,0.91
CCEP,Coca-Cola Europacific Partners PLC,81.54,0.79,0.98
ADI,Analog Devices Inc,218.56,4.92,2.3
MDB,MongoDB Inc,286.58,4.7,1.67
DASH,DoorDash Inc,124.61,1.05,0.85
ROP,Roper Technologies Inc,553.39,5.63,1.03
ANSS,ANSYS Inc,309.7,4.66,1.53
AAPL,Apple Inc,220.91,0.09,0.04
AMAT,Applied Materials Inc,177.55,2.8,1.6
GEHC,GE Healthcare Technologies Inc,85.12,0.03,0.04
ASML,ASML Holding NV,749.82,-2.97,-0.39
TEAM,Atlassian Corp,162.69,1.38,0.86
ADSK,Autodesk Inc,255.67,5.3,2.12
