Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"2,302,927,546.12",6.38,"2,302,927,546.12","10,424,732.00",220.91,United States,NASDAQ,USD,1,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"2,163,778,195.32",6,"2,163,778,195.32","5,333,181.00",405.72,United States,NASDAQ,USD,1,USD,-
NVDA,NVIDIA CORP,Information Technology,Equity,"1,815,822,426.60",5.03,"1,815,822,426.60","17,054,780.00",106.47,United States,NASDAQ,USD,1,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"1,168,487,086.80",3.24,"1,168,487,086.80","6,661,842.00",175.4,United States,NASDAQ,USD,1,USD,-
META,META PLATFORMS INC CLASS A,Communication,Equity,"793,166,431.20",2.2,"793,166,431.20","1,571,280.00",504.79,United States,NASDAQ,USD,1,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"626,833,023.27",1.74,"626,833,023.27","4,215,137.00",148.71,United States,NASDAQ,USD,1,USD,-
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"603,286,384.05",1.67,"603,286,384.05","1,312,605.00",459.61,United States,New York Stock Exchange Inc.,USD,1,USD,-
LLY,ELI LILLY,Health Care,Equity,"554,042,883.46",1.54,"554,042,883.46","609,998.00",908.27,United States,New York Stock Exchange Inc.,USD,1,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"528,192,028.48",1.46,"528,192,028.48","3,532,112.00",149.54,United States,NASDAQ,USD,1,USD,-
AVGO,BROADCOM INC,Information Technology,Equity,"459,185,996.82",1.27,"459,185,996.82","3,260,801.00",140.82,United States,NASDAQ,USD,1,USD,-
JPM,JPMORGAN CHASE & CO,Financials,Equity,"445,609,593.00",1.24,"445,609,593.00","2,055,300.00",216.81,United States,New York Stock Exchange Inc.,USD,1,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"431,040,816.36",1.19,"431,040,816.36","1,993,068.00",216.27,United States,NASDAQ,USD,1,USD,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"391,808,355.90",1.09,"391,808,355.90","659,499.00",594.1,United States,New York Stock Exchange Inc.,USD,1,USD,-
XOM,EXXON MOBIL CORP,Energy,Equity,"370,138,868.19",1.03,"370,138,868.19","3,218,319.00",115.01,United States,New York Stock Exchange Inc.,USD,1,USD,-
V,VISA INC CLASS A,Financials,Equity,"322,697,600.94",0.89,"322,697,600.94","1,129,854.00",285.61,United States,New York Stock Exchange Inc.,USD,1,USD,-
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"297,904,963.90",0.83,"297,904,963.90","1,692,065.00",176.06,United States,New York Stock Exchange Inc.,USD,1,USD,-
MA,MASTERCARD INC CLASS A,Financials,Equity,"288,643,688.92",0.8,"288,643,688.92","592,588.00",487.09,United States,New York Stock Exchange Inc.,USD,1,USD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"288,214,640.36",0.8,"288,214,640.36","1,729,876.00",166.61,United States,New York Stock Exchange Inc.,USD,1,USD,-
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"285,003,135.90",0.79,"285,003,135.90","317,910.00",896.49,United States,NASDAQ,USD,1,USD,-
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"259,991,817.36",0.72,"259,991,817.36","711,293.00",365.52,United States,New York Stock Exchange Inc.,USD,1,USD,-
ABBV,ABBVIE INC,Health Care,Equity,"249,547,878.02",0.69,"249,547,878.02","1,270,481.00",196.42,United States,New York Stock Exchange Inc.,USD,1,USD,-
